feature,pretty_feature,family,mutual_info,f_score,f_pvalue,chi2,chi2_pvalue,fisher_score,rank_score
musiq,MUSIQ,NR,0.4482191928410231,28.261487964621992,7.123890157250815e-07,3.1858143542723916,0.5272252150470038,0.4757622832197591,0.4482191928410231
unique,UNIQUE,NR,0.21336274054503157,23.319807505162338,5.30811440151773e-06,1.758954250092792,0.7799827211904644,0.37244766601133505,0.21336274054503157
pieapp_rlfn,PieAPP + RLFN,FR,0.2020045961586172,9.598054598234695,0.002568779428087891,1.6401339888560038,0.8015614157202862,0.21861654475079553,0.2020045961586172
paq2piq,PaQ-2-PiQ,NR,0.1413388798804447,3.77453241225387,0.05503081568217639,1.0296500926873706,0.9052672318913567,0.11842854577734763,0.1413388798804447
arniqa,ARNIQA,NR,0.1402155954768145,13.833045392321814,0.0003397366912207015,1.5550851756442854,0.8168410583916945,0.28112168797360926,0.1402155954768145
ssim_rlfn,SSIM + RLFN,FR,0.13846983628504184,6.716753464792016,0.011073927725716906,1.137417819834286,0.8882909180341414,0.17525244508202445,0.13846983628504184
max,Max,Stats,0.11466098527250201,10.606423554899836,0.0015681922861766364,1.1762770667203883,0.8819887865591987,0.19317371248279985,0.11466098527250201
lpips-vgg_rlfn,LPIPS-VGG + RLFN,FR,0.1023266120458266,4.847634371380632,0.030130962952968104,1.377912658482859,0.8480246733049923,0.12938295840731984,0.1023266120458266
median,Median,Stats,0.10026272326049623,2.301413866108347,0.13261226159662273,1.2827510248538374,0.8642952059030791,0.12730845886533806,0.10026272326049623
std,Std,Stats,0.09410342738368671,12.3796566354754,0.0006707549030424714,1.0963065154738711,0.894857775166017,0.1608186035841902,0.09410342738368671
ahiq_rlfn,AHIQ + RLFN,FR,0.08112428628806878,3.897516492943504,0.051292655382082455,0.5905872523572699,0.9641038920268112,0.08255398218418541,0.08112428628806878
resnet_pca_002,ResNet PC2,ResNet,0.061955222431728796,0.38375313007780226,0.5371000714092348,0.43583328846737623,0.9794393979764752,0.09949534880747561,0.061955222431728796
resnet_pca_000,ResNet PC0,ResNet,0.06055594073675641,0.29087920698011827,0.5909328758059256,0.609394452830738,0.9620140504468627,0.04625886286999675,0.06055594073675641
stlpips-vgg_rlfn,STLPIPS-VGG + RLFN,FR,0.05660724751154822,7.404783382353466,0.007751423590022068,2.2804069767181394,0.6843385170436187,0.1806116480781211,0.05660724751154822
vgg_pca_001,VGG PC1,VGG,0.048195649854956724,0.6705905179361461,0.41491708055038395,0.4051945423694112,0.9820494056307276,0.048421705745342554,0.048195649854956724
psnr_rlfn,PSNR + RLFN,FR,0.04309160372652254,2.2239909919559557,0.13922974434841795,1.187325422745815,0.8801809635239437,0.15040755065164238,0.04309160372652254
vgg_pca_000,VGG PC0,VGG,0.019151176211907206,0.9647542849910132,0.32851327288914983,0.21884520957332645,0.9944326547596449,0.009084815839706696,0.019151176211907206
area00,Area 0.00,Stats,0.0,6.320117373211606,0.01363771766274505,0.39106589322535923,0.9832018095915042,0.08103039499116568,0.0
vgg_pca_003,VGG PC3,VGG,0.0,0.05367147931060002,0.8172970891650839,0.6091411440409773,0.9620425014557046,0.026813554589316762,0.0
vgg_pca_002,VGG PC2,VGG,0.0,0.01724344407983167,0.895807325714377,0.15747226490803543,0.9970583109511286,0.019574655876079216,0.0
vgg_pca_004,VGG PC4,VGG,0.0,0.3146852020657001,0.5761540850007123,0.0459629238089569,0.9997399374174605,0.00930868621262565,0.0
resnet_pca_001,ResNet PC1,ResNet,0.0,12.442408651093503,0.0006511572988933442,1.562046121458057,0.815596845239192,0.1439192085138009,0.0
resnet_pca_003,ResNet PC3,ResNet,0.0,2.6089411231734703,0.10961440633654385,0.6176069589639658,0.9610872011762407,0.07686937713939777,0.0
resnet_pca_004,ResNet PC4,ResNet,0.0,0.29644572559842314,0.5874085620989947,0.20640752434885484,0.9950271015603308,0.0355450670556393,0.0
