sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,psnr_gt,ssim_gt,lpips-vgg_gt,stlpips-vgg_gt,pieapp_gt,ahiq_gt,psnr_bicubic,ssim_bicubic,lpips-vgg_bicubic,stlpips-vgg_bicubic,pieapp_bicubic,ahiq_bicubic,psnr_rlfn,ssim_rlfn,lpips-vgg_rlfn,stlpips-vgg_rlfn,pieapp_rlfn,ahiq_rlfn,psnr_span,ssim_span,lpips-vgg_span,stlpips-vgg_span,pieapp_span,ahiq_span
PASD:1024x768___4962875195,PASD,1024x768___4962875195.png,dataset/sr/PASD/1024x768___4962875195.png,dataset/hr/1024x768___4962875195.png,dataset/lr/1024x768___4962875195.png,25.45161247253418,0.7163192818520737,0.2924575209617615,0.25312402844429016,0.5732151865959167,0.4380185604095459,25.67243766784668,0.742878332501175,0.41661515831947327,0.45740118622779846,0.3653355836868286,0.36209577322006226,25.632932662963867,0.7400796833834462,0.39718273282051086,0.4110010266304016,0.4924788773059845,0.34711217880249023,25.524658203125,0.7454047546392993,0.41675612330436707,0.4246240258216858,0.5084027051925659,0.3500257432460785
PASD:ava_images___101816,PASD,ava_images___101816.png,dataset/sr/PASD/ava_images___101816.png,dataset/hr/ava_images___101816.png,dataset/lr/ava_images___101816.png,16.504987716674805,0.3770919891706646,0.40927037596702576,0.2833261787891388,1.1459968090057373,0.4152836501598358,19.541114807128906,0.5512694157929414,0.48272132873535156,0.5386009216308594,0.47554269433021545,0.42850375175476074,19.10248565673828,0.5021292227441024,0.4863942563533783,0.5284298062324524,1.1939325332641602,0.3891732394695282,19.17205047607422,0.5247290519897015,0.4837486147880554,0.5013969540596008,0.8712566494941711,0.3837999403476715
PASD:ava_images___158174,PASD,ava_images___158174.png,dataset/sr/PASD/ava_images___158174.png,dataset/hr/ava_images___158174.png,dataset/lr/ava_images___158174.png,27.837188720703125,0.905474294494065,0.2070191204547882,0.21426057815551758,0.45843878388404846,0.5102463960647583,27.265235900878906,0.9026130676193391,0.21520957350730896,0.19690881669521332,0.1694585233926773,0.5866639018058777,27.253665924072266,0.9063777954962232,0.1813572645187378,0.17712827026844025,0.6379998922348022,0.5660180449485779,26.989660263061523,0.903551381694759,0.19681531190872192,0.18477573990821838,0.37528935074806213,0.553334653377533
PASD:ava_images___18037,PASD,ava_images___18037.png,dataset/sr/PASD/ava_images___18037.png,dataset/hr/ava_images___18037.png,dataset/lr/ava_images___18037.png,29.263248443603516,0.8864030327003812,0.2764776349067688,0.2232777178287506,0.7465016841888428,0.4359865188598633,30.56361961364746,0.9155537056800881,0.2769140303134918,0.25104284286499023,0.7471261620521545,0.455154150724411,29.85508155822754,0.9068322037979774,0.2691041827201843,0.24201466143131256,0.7543258666992188,0.4253504276275635,29.81479263305664,0.9119605581103013,0.2509956359863281,0.2364484667778015,0.9942949414253235,0.44192153215408325
PASD:ava_images___217590,PASD,ava_images___217590.png,dataset/sr/PASD/ava_images___217590.png,dataset/hr/ava_images___217590.png,dataset/lr/ava_images___217590.png,34.44649124145508,0.9306043221206592,0.20115172863006592,0.08570099622011185,0.5537672638893127,0.5508606433868408,38.55027770996094,0.9624196921142939,0.231661856174469,0.12131751328706741,0.5719231963157654,0.5151033401489258,37.87181854248047,0.9557782886341069,0.2830566167831421,0.12042348086833954,1.050178050994873,0.4751749038696289,38.080928802490234,0.9586742269622256,0.24728214740753174,0.11389428377151489,0.7964755892753601,0.4605826437473297
PASD:ava_images___251530,PASD,ava_images___251530.png,dataset/sr/PASD/ava_images___251530.png,dataset/hr/ava_images___251530.png,dataset/lr/ava_images___251530.png,14.759042739868164,0.22536805804417326,0.5080164670944214,0.36102113127708435,1.800498366355896,0.22289656102657318,18.869678497314453,0.46706183090893766,0.6214597225189209,0.48062801361083984,0.5971656441688538,0.22698020935058594,19.74260711669922,0.44789867536996053,0.5790329575538635,0.4848003685474396,0.7235764861106873,0.16604885458946228,19.384130477905273,0.45206749521611356,0.5798666477203369,0.46424227952957153,0.9765902757644653,0.1635088473558426
PASD:ava_images___253900,PASD,ava_images___253900.png,dataset/sr/PASD/ava_images___253900.png,dataset/hr/ava_images___253900.png,dataset/lr/ava_images___253900.png,22.73537826538086,0.7160720495255054,0.30925410985946655,0.13519515097141266,0.2857426404953003,0.31866297125816345,26.278560638427734,0.7804519491879939,0.3430655598640442,0.2919563949108124,-0.31867215037345886,0.4060509204864502,25.90140151977539,0.7650323841795046,0.35573798418045044,0.28483179211616516,0.5355178117752075,0.325167715549469,25.819303512573242,0.7690712055849207,0.3463169038295746,0.27600595355033875,0.2343011051416397,0.36044204235076904
PASD:ava_images___273810,PASD,ava_images___273810.png,dataset/sr/PASD/ava_images___273810.png,dataset/hr/ava_images___273810.png,dataset/lr/ava_images___273810.png,29.58073616027832,0.9111539948888955,0.2030717432498932,0.09761221706867218,0.9894046783447266,0.5091676115989685,33.23909378051758,0.9470046447672062,0.20685023069381714,0.1206483319401741,0.9444054365158081,0.5223747491836548,32.58816146850586,0.939732787072036,0.20139959454536438,0.13360092043876648,1.4900010824203491,0.478405237197876,32.432594299316406,0.9415449988302971,0.2118699848651886,0.1161368191242218,1.3510223627090454,0.48043185472488403
PASD:ava_images___295451,PASD,ava_images___295451.png,dataset/sr/PASD/ava_images___295451.png,dataset/hr/ava_images___295451.png,dataset/lr/ava_images___295451.png,21.075952529907227,0.7464873822326257,0.3534712493419647,0.19527731835842133,1.0881948471069336,0.30806025862693787,22.14077377319336,0.7711687711583138,0.3757186830043793,0.285614013671875,0.20374254882335663,0.3708776533603668,22.252792358398438,0.7633741792150388,0.37880757451057434,0.26035812497138977,1.2880425453186035,0.3368537724018097,22.048370361328125,0.7685410953846311,0.37819647789001465,0.25352081656455994,1.2989226579666138,0.3655688464641571
PASD:ava_images___308473,PASD,ava_images___308473.png,dataset/sr/PASD/ava_images___308473.png,dataset/hr/ava_images___308473.png,dataset/lr/ava_images___308473.png,23.018661499023438,0.7257011441749596,0.33188343048095703,0.1517326384782791,1.1086434125900269,0.31030458211898804,25.76158332824707,0.8131796665072761,0.37528276443481445,0.24293383955955505,-0.6379818320274353,0.3485254943370819,25.683082580566406,0.7935739886294558,0.3683567941188812,0.22007030248641968,0.43048399686813354,0.29421311616897583,25.28351593017578,0.8033859927211705,0.3835228681564331,0.2224360555410385,0.3994015157222748,0.3082505762577057
