feature,pretty_feature,family,mean_abs_shap
musiq,MUSIQ,NR,0.042519674548823966
pieapp_rlfn,PieAPP + RLFN,FR,0.02788804932247148
max,Max,Stats,0.01881665402638213
arniqa,ARNIQA,NR,0.01829201017603074
unique,UNIQUE,NR,0.018097662142599214
resnet_pca_000,ResNet PC0,ResNet,0.01495970882206258
std,Std,Stats,0.013251441763901204
median,Median,Stats,0.0129230610041685
resnet_pca_001,ResNet PC1,ResNet,0.011360784981481062
ahiq_rlfn,AHIQ + RLFN,FR,0.011151530579903292
area00,Area 0.00,Stats,0.008809236830707312
resnet_pca_002,ResNet PC2,ResNet,0.006129185958131531
paq2piq,PaQ-2-PiQ,NR,0.005073100291629413
resnet_pca_003,ResNet PC3,ResNet,0.00473683325462007
vgg_pca_003,VGG PC3,VGG,0.004443071434214718
lpips-vgg_rlfn,LPIPS-VGG + RLFN,FR,0.004187131853459822
stlpips-vgg_rlfn,STLPIPS-VGG + RLFN,FR,0.0032893862930494385
resnet_pca_004,ResNet PC4,ResNet,0.0032288152980828773
ssim_rlfn,SSIM + RLFN,FR,0.0032177460333960343
vgg_pca_001,VGG PC1,VGG,0.002354762021801337
vgg_pca_002,VGG PC2,VGG,0.0021791044037794975
vgg_pca_000,VGG PC0,VGG,0.002160070285485789
psnr_rlfn,PSNR + RLFN,FR,0.0015312743233684778
vgg_pca_004,VGG PC4,VGG,0.0013485507653315963
